"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"1011 Nieuwmarkt/Lastage";362;361;375;376;374;380;384;392;400;416;416;436
"1012 Burgwallen";105;106;109;107;114;121;126;135;139;142;139;144
"1013 W havengebied/Westerpark/Haarlemmerbrt";2652;2643;2679;2684;2684;2720;2715;2748;2820;2827;2859;3292
"1014 Sloterdijk";130;128;139;140;140;150;151;157;169;182;197;209
"1015 Grachtengordel-W/Jordaan";120;121;124;126;127;138;139;141;147;152;152;160
"1016 Jordaan";127;134;137;135;139;145;149;154;168;170;172;185
"1017 Grachtengordel-Z/Weteringschans";297;300;306;307;308;316;321;331;336;339;347;351
"1018 Weesperbrt/Plantage/O-Eilanden/Kadijken";156;158;163;161;162;167;173;176;179;182;192;200
"1019 Oostelijk Havengebied";183;184;185;188;192;195;196;200;208;213;215;225
"1021 IJplein/Vogelbrt/Nieuwdammerham";51;52;54;55;56;57;60;60;62;66;65;71
"1022 Amsterdam Vliegenbos";14;15;15;16;16;19;19;22;24;25;25;26
"1023 Tuindorp Nieuwendam/Waterland";38;38;38;38;37;38;40;42;44;44;46;49
"1024 Nieuwendam-N";59;60;60;60;58;61;62;63;64;64;65;66
