Postcode-4,Year,Total,Supermarket,Convenience stores,Cafe,Cafeteria,Hotel,Restaurant,Railway station,Amusement park,Cinema,Museums,Art exhibitions,Library,Swimming pool,General practioner,Hospital including clinic
1011,2020,9705,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1012,2020,8600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1013,2020,21395,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1014,2020,2175,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
1015,2020,14865,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1016,2020,10980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1017,2020,12730,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1018,2020,21110,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1019,2020,18980,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1021,2020,7040,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
1022,2020,3445,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
1023,2020,4690,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1024,2020,13190,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1025,2020,15620,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1026,2020,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,2020,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,2020,615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1031,2020,6555,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1032,2020,5915,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
1033,2020,12725,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1034,2020,14970,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1
1035,2020,10735,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1036,2020,2540,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1037,2020,140,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1041,2020,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1042,2020,25,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1043,2020,725,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
1045,2020,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,2020,80,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1047,2020,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1051,2020,13320,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1052,2020,12305,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1053,2020,16630,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1054,2020,17135,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1055,2020,21180,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
1056,2020,20385,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1057,2020,17530,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1058,2020,15955,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
1059,2020,6580,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
1060,2020,10060,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1061,2020,15885,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1062,2020,13570,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1063,2020,12890,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1064,2020,17120,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
1065,2020,12250,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1066,2020,18230,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1067,2020,20200,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1068,2020,16680,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
1069,2020,26345,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
1071,2020,12620,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1072,2020,13730,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1073,2020,13360,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1074,2020,8355,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1075,2020,10550,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1076,2020,11415,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
1077,2020,9785,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1078,2020,14765,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1079,2020,14680,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1081,2020,5320,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
1082,2020,12115,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
1083,2020,7760,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
1086,2020,4255,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0
1087,2020,19755,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0
1091,2020,16980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1092,2020,9025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1093,2020,10225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1094,2020,12530,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1095,2020,14605,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1096,2020,5075,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
1097,2020,14880,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1098,2020,15790,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1101,2020,120,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
1102,2020,24935,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
1103,2020,14275,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1104,2020,15495,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1105,2020,625,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1106,2020,18080,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1107,2020,11635,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1108,2020,3035,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1109,2020,1620,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1111,2020,14495,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
1112,2020,12690,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
1113,2020,3590,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
1114,2020,65,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1115,2020,5050,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
1118,2020,55,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1119,2020,25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1121,2020,10245,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1127,2020,825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1131,2020,8960,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
1132,2020,13455,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
