Address;City;Postal Code;Country;Latitude;Longitude;Operator;Access Type;Connector Standard;Amperage;Voltage;Power Type;Max Power
Caecilia-Gracht 1;Kerkrade;6465 EH;NL;50.849072;6.024113;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Caecilia-Gracht 1;Kerkrade;6465 EH;NL;50.849072;6.024113;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;CHAdeMO, DC;125;400;dc;50000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;CHAdeMO, DC;125;400;dc;50000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Middenpeelweg 6;Maasbree;5993 RK;NL;51.376634;5.98502;Fastned;Public;IEC 62196 Type 2 Mennekes Combo, DC;500;600;dc;300000
Majellastraat 2A32;Maastricht;6226 HM;NL;50.844544;5.727897;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Majellastraat 2A32;Maastricht;6226 HM;NL;50.844544;5.727897;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Milaanstraat 120;Sittard;6135 LH;NL;50.991371;5.842836;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Milaanstraat 120;Sittard;6135 LH;NL;50.991371;5.842836;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Milaanstraat 120;Sittard;6135 LH;NL;50.991371;5.842836;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Milaanstraat 120;Sittard;6135 LH;NL;50.991371;5.842836;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Maaskade 62;Venlo;5911 EZ;NL;51.37466546;6.16912235;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Maaskade 62;Venlo;5911 EZ;NL;51.37466546;6.16912235;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Tegelseweg 210;Venlo;5912 BL;NL;51.357613;6.154628;Vattenfall;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Burgemeester Willemeplein 1;Nieuwstadt;6118 EA;NL;51.040998;5.861833;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Burgemeester Willemeplein 1;Nieuwstadt;6118 EA;NL;51.040998;5.861833;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Pastoor Habetsstraat 1;Maastricht;6217 KK;NL;50.851876;5.674628;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Pastoor Habetsstraat 1;Maastricht;6217 KK;NL;50.851876;5.674628;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Agrobaan 9;Ysselsteyn;5813 EB;NL;51.495946;5.89333;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Agrobaan 9;Ysselsteyn;5813 EB;NL;51.495946;5.89333;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
