"Vervoerwijzen","Populatie","Reismotieven","Marges","Regio's","Perioden","Gemiddelde afstand per verplaatsing (reizigerskilometers)","Gemiddelde reisduur per verplaatsing (minuten)"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2018","18,96","25,61"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2019","19,00","25,85"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2020","16,33","23,14"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2021","17,08","24,30"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2018","20,54","25,23"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2019","21,26","25,73"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2020","17,41","22,61"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2021","18,05","23,50"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2018","19,67","25,25"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2019","19,73","25,64"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2020","17,19","23,26"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2021","17,60","24,20"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2018","19,41","27,24"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2019","19,56","27,82"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2020","16,96","24,68"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2021","17,56","25,81"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Nederland (LD)","2018","16,79","23,19"
