"Postcodes (PC4)";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Februari 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Maart 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|April 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Mei 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juni 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juli 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Augustus 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|September 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Oktober 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|November 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|December 2021"
"1011 Nieuwmarkt/Lastage";38;69;97;117;137;140;142;120;95;89;75;70
"1012 Burgwallen";40;42;50;122;209;251;420;735;1305;1879;2521;3273
"1013 W havengebied/Westerpark/Haarlemmerbrt";91;93;99;101;106;109;110;111;116;113;116;122
"1014 Sloterdijk";51;49;53;57;58;57;57;58;60;59;61;62
"1015 Grachtengordel-W/Jordaan";74;77;78;82;81;81;82;88;92;89;94;92
"1016 Jordaan";82;81;85;88;87;86;91;94;98;100;101;105
"1017 Grachtengordel-Z/Weteringschans";145;150;153;155;157;161;163;165;168;166;171;175
"1018 Weesperbrt/Plantage/O-Eilanden/Kadijken";78;82;84;85;89;91;99;96;97;96;99;108
"1019 Oostelijk Havengebied";83;83;85;87;91;92;96;103;105;113;120;127
"1021 IJplein/Vogelbrt/Nieuwdammerham";20;20;19;18;19;22;23;21;22;20;19;19
"1022 Amsterdam Vliegenbos";18;20;20;21;22;23;24;24;24;24;26;27
"1023 Tuindorp Nieuwendam/Waterland";21;21;22;22;23;24;25;24;25;27;27;27
"1024 Nieuwendam-N";21;23;24;24;24;26;30;31;34;32;35;36
