"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2022";"Aantal publieke snellaadpunten voor elektrische auto's|April 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2022";"Aantal publieke snellaadpunten voor elektrische auto's|September 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2022";"Aantal publieke snellaadpunten voor elektrische auto's|November 2022";"Aantal publieke snellaadpunten voor elektrische auto's|December 2022"
"Aa en Hunze";2;0;0;0;0;0;0;0;0;0;0;0
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0;0;0;4;4;4;4
"Alblasserdam";8;15;15;15;11;15;19;20;16;12;14;12
"Albrandswaard";12;8;16;17;14;6;6;6;6;6;6;6
"Alkmaar";13;12;20;13;12;13;12;12;9;9;10;9
"Almelo";3;3;3;3;3;3;3;3;3;0;7;7
"Almere";7;6;7;7;8;8;8;8;8;13;13;13
"Alphen aan den Rijn";5;5;10;9;9;9;9;11;11;7;7;6
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";16;22;30;18;16;17;16;18;18;20;21;21
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";21;28;28;28;24;22;32;32;33;27;26;26
"Amstelveen";12;12;12;14;10;10;10;10;10;8;8;28
"Amsterdam";123;125;133;131;119;124;141;150;153;137;140;189
"Apeldoorn";78;78;96;96;92;90;90;90;90;64;63;63
"Arnhem";36;55;55;53;48;47;46;46;50;40;41;52
"Assen";17;14;27;20;23;23;20;19;19;21;21;27
"Asten";5;5;5;5;5;5;5;5;5;5;5;10
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";6;7;7;7;13;13;9;7;7;8;8;11
"Barneveld";25;25;25;25;22;26;27;25;25;25;24;28
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
