"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2020"
"Aa en Hunze";2;2;2;2;2;2;2;2;2;2;2;3
"Aalsmeer";118;118;120;120;120;128;130;144;144;144;144;152
"Aalten";6;6;6;8;14;14;14;14;16;16;20;20
"Achtkarspelen";8;8;8;8;8;8;12;12;12;12;12;12
"Alblasserdam";36;36;36;36;36;36;36;36;36;36;36;42
"Albrandswaard";88;90;90;90;90;90;90;92;92;92;94;96
"Alkmaar";264;330;354;366;367;373;415;416;430;432;444;442
"Almelo";30;41;41;47;46;48;49;46;52;51;51;51
"Almere";388;408;410;424;439;452;492;509;512;542;562;558
"Alphen aan den Rijn";324;326;338;348;352;354;376;417;434;466;482;518
"Alphen-Chaam";5;7;7;7;7;7;7;7;7;7;7;9
"Altena";50;52;62;62;66;66;72;71;76;74;76;76
"Ameland";6;6;6;6;6;6;6;6;6;6;6;6
"Amersfoort";416;428;438;462;474;482;504;572;615;622;630;673
"Amstelveen";340;351;366;368;385;413;452;503;516;563;611;624
"Amsterdam";3313;3425;3574;3682;3689;3701;3693;3716;3676;3728;3722;4824
"Apeldoorn";196;210;211;215;215;223;239;247;249;259;257;261
"Arnhem";454;494;514;517;521;531;538;539;567;567;568;561
"Assen";11;15;15;15;13;19;21;19;21;25;29;51
"Asten";6;6;6;6;8;10;10;10;10;10;10;10
"Baarle-Nassau";2;2;2;2;2;2;2;2;2;2;2;4
"Baarn";20;20;20;24;24;26;28;28;28;30;32;32
"Barendrecht";195;199;195;197;198;201;204;203;208;205;207;207
"Barneveld";101;117;115;121;127;135;139;143;144;147;149;147
"Beek";3;3;3;3;3;3;3;3;3;3;3;3
"Beekdaelen";10;12;12;12;12;12;14;14;14;14;14;14
"Beesel";4;4;3;3;3;3;4;4;4;4;6;4
"Berg en Dal";34;34;34;34;34;34;38;37;38;40;40;42
"Bergeijk";6;6;6;6;6;6;6;6;6;6;6;6
"Bergen (L.)";13;15;13;13;13;13;13;13;13;13;13;15
"Bergen (NH.)";59;65;75;74;76;76;84;84;86;86;96;92
"Bergen op Zoom";78;103;101;103;107;107;107;107;109;109;109;109
"Berkelland";12;12;12;12;12;14;16;16;20;22;22;22
"Bernheze";24;22;22;22;22;22;22;22;24;24;24;22
"Best";34;34;34;34;34;38;38;40;42;42;42;50
"Beuningen";25;28;28;28;27;27;27;27;27;27;27;27
"Beverwijk";56;62;66;68;71;71;76;76;74;77;77;77
"Bladel";10;10;10;10;10;12;12;14;14;14;14;14
"Blaricum";18;24;24;24;26;26;28;28;28;30;28;30
"Bloemendaal";34;36;36;36;36;36;58;72;76;78;80;78
"Bodegraven-Reeuwijk";32;32;36;42;42;42;44;48;52;56;60;64
"Boekel";7;7;7;7;7;7;7;7;7;7;7;7
"Borger-Odoorn";4;4;4;4;4;4;4;4;4;4;4;4
"Borne";12;12;12;12;10;14;18;20;20;20;20;20
"Borsele";10;10;10;10;10;10;10;10;10;10;10;10
"Boxtel";29;30;38;42;42;44;46;46;52;54;54;62
"Breda";375;413;415;439;439;439;443;517;543;561;560;638
"Brielle";69;71;64;64;64;70;74;74;74;78;78;76
"Bronckhorst";18;24;28;26;28;30;30;29;30;30;30;30
"Brummen";16;16;16;16;16;16;16;16;16;16;16;16
"Brunssum";18;18;18;18;18;18;18;18;18;18;18;18
"Bunnik";48;46;48;50;64;60;60;95;65;67;61;71
"Bunschoten";6;6;6;6;6;6;6;6;6;6;6;8
"Buren";10;10;16;16;16;16;16;16;16;18;18;18
"Capelle aan den IJssel";99;109;108;130;138;146;158;160;170;172;182;185
"Castricum";59;77;87;89;89;89;97;97;97;108;116;116
"Coevorden";7;7;7;7;7;7;7;9;9;9;9;9
"Cranendonck";6;6;6;6;6;6;6;6;8;8;8;8
"Culemborg";53;61;87;87;87;99;99;116;116;116;116;115
"Dalfsen";28;28;28;32;32;32;32;32;32;32;32;34
"Dantumadiel";6;6;6;6;6;6;6;6;6;6;6;6
"De Bilt";85;97;105;105;105;106;112;113;128;134;134;134
"De Fryske Marren";15;15;15;14;14;14;15;15;15;16;16;16
"De Ronde Venen";88;88;92;92;92;92;94;102;102;101;107;107
"De Wolden";14;14;16;18;18;18;20;20;20;20;20;20
"Delft";229;233;209;229;239;242;250;246;261;266;268;281
"Den Haag";2242;2268;2291;2375;2453;2501;2566;2576;2694;2854;2886;2915
"Den Helder";50;54;55;54;54;55;55;55;62;64;66;66
"Deurne";25;25;25;25;25;29;29;29;31;31;31;35
"Deventer";117;129;136;144;152;158;160;160;160;164;162;164
"Diemen";48;50;56;62;64;68;81;81;89;89;91;89
"Dijk en Waard";134;148;162;162;164;164;173;172;176;175;176;178
"Dinkelland";12;12;12;12;12;14;14;14;14;14;14;14
"Doesburg";9;9;9;9;9;9;9;9;9;9;9;9
"Doetinchem";18;20;28;34;34;34;34;34;34;34;36;36
"Dongen";44;44;46;48;48;48;48;47;48;48;48;48
"Dordrecht";240;242;246;248;252;264;262;274;280;292;293;304
"Drechterland";12;14;16;16;16;16;16;16;16;16;16;18
"Drimmelen";36;38;38;36;40;42;42;41;44;44;48;49
"Dronten";10;23;23;33;33;33;35;35;37;37;35;35
"Druten";20;20;20;20;20;22;22;22;22;26;26;26
"Duiven";10;10;10;10;10;10;12;6;6;6;6;6
"Echt-Susteren";30;30;30;30;30;34;34;34;34;34;34;34
"Edam-Volendam";70;70;72;72;72;72;74;74;72;78;78;78
"Ede";174;180;198;202;203;216;218;208;222;230;239;239
"Eemnes";14;18;18;18;18;18;20;18;22;22;24;24
"Eemsdelta";6;6;6;6;6;6;6;6;6;6;6;6
"Eersel";24;24;25;25;25;30;30;30;30;30;31;28
"Eijsden-Margraten";7;9;9;9;9;9;9;9;11;11;11;11
"Eindhoven";543;559;568;543;545;570;568;554;568;572;571;577
"Elburg";12;12;12;12;12;12;12;12;12;12;14;16
"Emmen";22;29;35;33;39;39;39;45;53;57;57;57
"Enkhuizen";30;32;32;32;34;34;40;40;40;40;40;40
"Enschede";119;127;139;145;153;157;169;169;173;181;183;187
"Epe";11;13;13;15;15;17;19;19;21;21;21;21
"Ermelo";30;32;32;34;34;34;40;39;40;40;40;40
"Etten-Leur";69;71;70;70;74;74;78;78;78;78;80;82
"Geertruidenberg";30;30;30;30;30;40;40;40;40;40;40;40
"Geldrop-Mierlo";41;43;43;43;43;55;55;55;55;55;55;63
"Gemert-Bakel";18;18;18;18;18;20;20;20;20;20;20;22
"Gennep";13;13;13;13;13;15;15;15;15;15;15;15
"Gilze en Rijen";42;42;42;42;42;46;46;48;48;48;48;52
"Goeree-Overflakkee";117;117;129;130;132;132;132;132;128;128;128;128
"Goes";22;26;26;30;30;30;30;34;34;40;40;38
"Goirle";24;24;24;24;24;28;28;28;28;28;28;33
"Gooise Meren";151;171;183;193;205;207;211;210;216;226;238;236
"Gorinchem";56;56;58;58;58;60;60;60;64;66;68;74
"Gouda";152;152;140;140;134;138;142;148;160;160;160;163
"Groningen";275;293;294;326;357;371;374;379;384;397;408;427
"Gulpen-Wittem";7;7;7;7;7;7;7;7;7;7;7;7
"Haaksbergen";5;5;7;13;13;13;13;11;11;11;11;11
"Haarlem";325;375;407;421;423;437;481;483;485;478;486;486
"Haarlemmermeer";401;425;400;402;419;423;441;445;457;469;483;487
"Halderberge";21;23;23;23;31;37;43;43;43;43;43;43
"Hardenberg";20;20;20;24;30;47;51;53;55;55;55;55
"Harderwijk";82;82;82;84;84;84;88;88;88;90;96;96
"Hardinxveld-Giessendam";14;14;16;18;18;18;18;18;18;18;18;18
"Harlingen";10;10;12;12;12;12;12;12;12;12;12;12
"Hattem";12;14;14;16;16;16;16;16;16;16;16;16
"Heemskerk";52;60;64;74;74;76;78;76;82;82;82;82
"Heemstede";29;33;33;33;33;33;33;33;33;33;33;33
"Heerde";8;8;8;8;8;12;12;12;12;12;12;14
"Heerenveen";24;24;27;27;28;30;37;45;51;48;52;54
"Heerlen";50;48;58;58;58;62;68;68;70;70;68;80
"Heeze-Leende";8;8;10;10;10;10;10;10;10;10;10;10
"Heiloo";40;54;56;56;52;52;52;52;56;58;70;68
"Hellendoorn";12;13;15;15;15;19;19;19;19;21;21;21
"Hellevoetsluis";98;98;92;92;94;96;104;104;104;104;106;103
"Helmond";77;77;77;87;91;95;102;100;107;107;107;109
"Hendrik-Ido-Ambacht";97;97;99;105;105;104;106;108;107;111;113;119
"Hengelo";62;70;76;82;82;82;88;94;96;116;118;118
