"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2020"
"Aa en Hunze";1;1;1;1;1;1;0;0;0;0;0;0
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0;0;0;0;0;0;0
"Alblasserdam";0;0;0;0;0;0;0;0;0;0;0;0
"Albrandswaard";0;0;0;0;0;0;4;4;4;4;4;7
"Alkmaar";4;6;8;6;4;4;6;6;6;7;7;7
"Almelo";1;0;0;0;0;0;0;0;2;2;2;1
"Almere";2;2;2;2;0;0;0;0;0;0;0;3
"Alphen aan den Rijn";2;2;2;2;4;2;5;5;5;5;5;6
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";0;0;0;0;0;0;0;0;0;12;12;12
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";2;1;1;1;1;1;4;4;4;4;4;7
"Amstelveen";0;0;0;0;0;0;0;0;0;0;0;0
"Amsterdam";9;22;22;22;8;14;15;15;15;15;24;26
"Apeldoorn";1;1;1;1;5;1;20;20;20;28;28;36
"Arnhem";4;7;7;7;1;1;0;0;0;0;6;16
"Assen";2;4;4;4;2;0;0;0;0;0;0;3
"Asten";0;1;1;1;1;1;0;0;0;0;0;6
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";2;2;2;2;2;2;0;0;0;0;0;0
"Barneveld";3;3;3;3;1;1;3;5;5;6;4;10
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";1;1;1;1;1;1;1;1;1;1;1;1
"Bergen op Zoom";0;0;0;0;0;0;0;0;0;0;2;0
"Berkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Bernheze";1;1;1;1;1;1;0;0;0;0;0;0
"Best";0;0;0;0;0;0;6;6;6;6;6;6
"Beuningen";0;0;0;0;0;0;2;2;2;3;3;0
"Beverwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bladel";0;0;0;0;0;0;0;6;6;6;6;6
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Borne";0;0;0;0;0;0;0;0;0;0;0;0
"Borsele";2;2;2;2;2;2;0;0;0;0;0;0
"Boxtel";0;0;0;0;0;0;0;0;0;0;0;0
"Breda";3;3;3;3;1;1;0;0;0;0;9;18
"Brielle";0;0;0;0;0;0;0;0;0;0;0;0
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";0;6;0;6;0;0;6;0;0;0;2;0
"Bunschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Buren";0;0;0;0;0;0;0;0;0;0;0;0
"Capelle aan den IJssel";15;2;2;2;2;2;0;0;0;0;0;3
"Castricum";0;0;0;0;0;0;0;0;0;0;0;0
"Coevorden";0;0;0;0;0;0;0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0;0;0;0;0;0;0
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";2;2;2;2;4;2;2;2;2;2;2;2
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";1;1;1;1;1;1;0;0;0;0;0;0
"De Fryske Marren";0;0;0;0;0;0;0;0;0;0;0;0
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
"De Wolden";0;0;0;0;0;0;0;0;0;0;0;0
"Delft";0;0;0;0;0;0;0;0;0;0;0;3
"Den Haag";0;0;0;0;0;0;0;0;0;0;3;7
"Den Helder";0;0;0;0;0;0;2;2;2;3;3;3
"Deurne";0;0;0;0;0;0;0;0;0;0;0;0
"Deventer";2;2;2;2;0;2;2;2;2;3;5;6
"Diemen";0;0;0;0;0;0;0;0;0;0;0;0
"Dijk en Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Dinkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";0;0;0;0;0;0;0;0;0;0;0;0
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";0;0;0;0;0;0;0;0;0;8;8;8
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";1;1;1;1;1;1;0;0;0;2;2;6
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
"Duiven";2;2;2;2;0;0;2;2;2;3;3;3
"Echt-Susteren";0;0;0;0;0;0;0;0;0;0;0;0
"Edam-Volendam";0;0;0;0;0;0;0;0;0;0;0;0
"Ede";0;0;0;0;0;0;0;0;0;0;0;0
"Eemnes";0;0;0;0;0;0;0;0;0;0;0;0
"Eemsdelta";0;0;0;0;0;0;0;0;0;0;0;0
"Eersel";0;0;0;0;0;0;0;0;0;0;0;0
"Eijsden-Margraten";0;0;0;0;0;0;0;0;0;0;0;0
"Eindhoven";10;10;10;10;10;11;9;9;9;9;9;9
"Elburg";0;0;0;0;0;0;0;0;0;0;0;0
"Emmen";0;0;0;0;0;0;2;2;2;3;3;3
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";6;6;6;6;4;4;6;6;6;11;15;19
"Epe";0;0;0;0;0;0;0;0;0;0;0;0
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";0;0;0;0;0;0;0;0;0;0;8;16
"Geertruidenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Geldrop-Mierlo";0;0;0;0;0;0;0;0;0;0;0;0
"Gemert-Bakel";0;0;0;0;0;0;0;0;0;0;0;0
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";0;0;0;0;0;0;0;0;0;0;8;8
"Goeree-Overflakkee";3;3;3;3;3;3;2;2;2;2;2;2
"Goes";4;4;4;4;4;4;6;6;4;5;7;7
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";0;0;0;0;0;0;0;0;0;0;0;0
"Gorinchem";0;0;0;0;0;0;0;0;0;0;0;0
"Gouda";0;0;0;0;0;0;0;0;0;0;0;0
"Groningen";3;0;0;0;3;3;5;5;5;10;17;15
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Haarlem";4;4;6;6;6;6;6;6;6;6;6;6
"Haarlemmermeer";4;4;4;4;4;4;4;4;4;4;4;7
"Halderberge";2;0;0;0;0;0;0;0;0;0;0;0
"Hardenberg";0;0;0;0;1;0;0;0;0;0;1;4
"Harderwijk";2;2;2;5;2;2;2;2;2;2;2;2
"Hardinxveld-Giessendam";0;0;0;0;0;0;0;0;0;0;3;3
"Harlingen";0;0;0;0;0;0;0;0;0;0;0;3
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
