"Gemeenten";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Januari 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Februari 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Maart 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|April 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Mei 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juni 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juli 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Augustus 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|September 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Oktober 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|November 2021";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|December 2021"
"Aa en Hunze";13;11;11;13;13;13;15;13;13;15;10;35
"Aalsmeer";78;89;98;108;102;102;103;103;103;110;109;109
"Aalten";13;15;16;13;13;13;11;10;10;46;14;12
"Achtkarspelen";3;4;3;3;3;3;3;3;4;4;8;9
"Alblasserdam";26;27;27;20;20;20;21;20;20;22;24;28
"Albrandswaard";23;25;26;22;35;39;26;24;27;31;31;30
"Alkmaar";223;241;255;241;239;230;228;233;229;236;234;232
"Almelo";96;117;130;119;117;121;116;111;109;128;116;112
"Almere";266;302;332;239;242;276;228;229;241;263;265;287
"Alphen aan den Rijn";155;150;144;149;146;160;152;153;153;165;172;163
"Alphen-Chaam";10;10;11;10;8;11;16;15;14;15;15;15
"Altena";51;48;53;44;45;48;47;39;40;46;48;47
"Ameland";6;8;10;10;12;11;12;12;12;11;11;7
"Amersfoort";399;420;436;432;365;459;440;447;444;460;459;460
"Amstelveen";203;222;314;278;242;262;263;266;270;259;268;268
"Amsterdam";2091;2251;2397;2388;2303;2388;2356;2312;2285;2317;2325;2243
"Apeldoorn";301;326;318;318;303;320;291;299;294;338;331;338
"Arnhem";270;345;362;345;333;253;254;288;290;311;300;316
"Assen";116;128;120;112;100;117;109;111;113;120;116;117
"Asten";12;8;9;8;10;14;8;10;11;10;10;11
"Baarle-Nassau";4;6;6;6;6;6;7;7;7;8;8;8
"Baarn";27;29;29;25;22;23;16;18;18;21;24;23
"Barendrecht";136;138;137;139;137;140;139;137;143;144;147;148
"Barneveld";108;112;136;124;123;130;110;116;120;129;126;132
"Beek";40;48;51;53;46;48;51;47;47;49;49;49
"Beekdaelen";25;25;26;25;26;25;28;31;34;33;32;33
"Beesel";4;8;6;6;7;6;5;6;4;4;4;4
"Berg en Dal";30;28;31;29;27;27;28;30;28;41;47;47
"Bergeijk";3;3;3;2;9;9;9;9;9;18;10;11
"Bergen (L.)";13;16;15;15;17;17;17;18;17;18;20;16
"Bergen (NH.)";31;35;33;29;28;30;37;36;44;59;59;57
"Bergen op Zoom";96;100;102;86;84;84;87;94;94;104;95;94
"Berkelland";26;26;27;26;24;24;24;26;29;42;42;42
"Bernheze";23;28;32;25;26;29;31;26;26;25;26;27
"Best";140;140;144;144;120;122;122;125;118;117;117;115
"Beuningen";12;14;15;15;15;14;15;14;14;15;13;12
"Beverwijk";36;44;44;41;33;35;37;41;41;43;39;40
"Bladel";23;22;18;17;16;16;16;15;15;31;34;34
"Blaricum";17;17;18;15;8;13;13;10;10;11;13;20
"Bloemendaal";11;11;9;10;20;21;19;16;16;17;20;18
"Bodegraven-Reeuwijk";70;70;68;66;68;72;83;73;78;75;72;69
"Boekel";15;15;17;18;13;15;14;15;15;15;15;13
"Borger-Odoorn";30;30;35;41;41;48;46;45;46;47;47;52
"Borne";14;16;16;13;15;24;15;15;20;20;18;17
"Borsele";29;31;34;40;45;57;47;48;48;50;55;67
"Boxtel";32;32;31;47;48;54;55;52;60;58;51;56
"Breda";343;347;353;327;303;334;331;326;370;379;381;396
"Brielle";17;19;19;18;21;26;19;18;18;20;26;22
"Bronckhorst";21;20;21;18;24;31;31;25;25;30;33;32
"Brummen";16;14;12;11;12;15;16;18;17;14;14;17
"Brunssum";7;7;11;11;11;11;13;11;15;15;11;11
"Bunnik";29;31;32;25;25;25;25;25;26;25;26;17
"Bunschoten";41;43;28;26;25;25;26;28;29;30;26;27
"Buren";2;2;3;3;10;9;8;10;9;11;11;13
"Capelle aan den IJssel";161;178;188;187;170;182;181;181;184;199;191;204
"Castricum";33;32;36;31;33;37;33;31;31;33;32;29
"Coevorden";15;15;20;20;18;20;22;20;20;20;19;20
"Cranendonck";10;12;19;17;17;17;23;20;20;20;20;22
"Culemborg";52;50;56;57;33;33;31;45;67;83;49;67
"Dalfsen";9;13;15;16;16;18;13;14;13;17;16;16
"Dantumadiel";6;6;8;7;6;6;6;6;6;6;7;6
"De Bilt";37;44;33;37;31;32;36;35;36;39;34;36
"De Fryske Marren";36;39;39;37;40;39;39;51;48;49;56;63
"De Ronde Venen";55;60;59;55;75;88;59;54;54;60;60;58
"De Wolden";12;11;11;10;12;15;11;10;10;10;14;14
"Delft";233;235;265;244;245;270;244;244;234;258;293;300
"Den Haag";677;773;709;622;673;847;849;836;912;1019;1239;1021
"Den Helder";55;51;59;54;57;64;56;56;61;59;67;68
"Deurne";23;23;25;23;19;20;23;20;20;19;33;17
"Deventer";191;194;213;201;183;194;191;204;201;211;181;195
"Diemen";64;49;52;39;47;57;48;60;61;60;69;59
"Dijk en Waard";75;95;95;85;72;80;81;81;77;84;73;75
"Dinkelland";13;15;15;14;14;14;14;22;21;25;28;38
"Doesburg";3;5;5;6;5;5;5;5;5;5;3;3
"Doetinchem";60;62;63;59;54;64;57;61;66;62;62;76
"Dongen";8;7;5;8;7;11;10;9;9;8;12;24
"Dordrecht";178;195;191;179;177;181;170;165;167;180;173;185
"Drechterland";6;12;10;10;8;8;10;9;10;10;9;9
"Drimmelen";8;7;7;6;6;8;10;10;10;17;14;14
"Dronten";56;87;97;65;61;62;61;57;55;64;62;65
"Druten";14;14;12;10;10;10;11;11;10;12;13;13
"Duiven";81;81;84;83;79;77;93;93;93;106;83;83
"Echt-Susteren";8;6;7;9;7;7;11;7;7;6;7;7
"Edam-Volendam";24;24;27;19;18;17;18;16;16;16;14;14
"Ede";171;185;195;176;173;208;187;179;182;192;187;197
"Eemnes";18;19;18;19;15;18;17;16;16;16;21;19
"Eemsdelta";31;36;39;35;37;50;41;41;49;48;51;52
"Eersel";26;32;36;34;32;36;36;33;35;34;28;24
"Eijsden-Margraten";12;12;11;11;10;10;11;10;12;11;14;13
"Eindhoven";400;439;472;466;396;430;457;484;500;531;503;521
"Elburg";16;16;16;24;24;26;23;22;20;21;21;21
"Emmen";95;87;109;104;103;107;104;107;112;124;131;117
"Enkhuizen";17;45;47;45;41;41;42;44;43;42;23;26
"Enschede";162;181;187;179;182;193;168;178;173;185;182;201
"Epe";74;77;79;76;52;58;56;52;52;55;58;58
"Ermelo";29;31;29;32;27;32;35;41;46;48;46;50
"Etten-Leur";34;35;39;36;30;34;33;30;34;34;32;38
"Geertruidenberg";47;46;49;52;52;54;54;55;54;57;56;57
"Geldrop-Mierlo";18;18;19;18;18;20;20;20;20;20;20;21
"Gemert-Bakel";17;17;16;17;16;17;18;16;24;24;38;26
"Gennep";17;16;27;30;24;24;27;25;25;32;32;32
"Gilze en Rijen";18;16;13;14;13;15;18;17;21;23;25;26
"Goeree-Overflakkee";82;89;93;88;102;111;110;102;100;117;123;145
"Goes";104;109;116;109;115;117;117;144;153;156;161;160
"Goirle";21;20;19;21;21;22;22;22;21;19;22;22
"Gooise Meren";72;83;61;64;58;69;67;67;70;70;66;69
"Gorinchem";97;82;83;84;77;86;78;81;81;87;89;92
"Gouda";88;105;103;121;125;128;117;113;116;121;79;73
"Groningen";392;417;467;456;428;451;433;435;441;465;452;452
"Gulpen-Wittem";21;21;21;21;21;21;22;29;39;35;35;35
"Haaksbergen";13;17;17;19;22;33;30;28;27;27;39;40
"Haarlem";103;111;117;104;95;124;121;118;115;118;125;121
"Haarlemmermeer";867;927;1002;906;860;862;809;803;816;840;890;946
"Halderberge";32;32;27;26;24;24;25;20;24;23;31;32
"Hardenberg";77;82;85;81;79;84;84;81;83;85;90;88
"Harderwijk";71;78;86;80;83;94;92;106;114;106;109;110
"Hardinxveld-Giessendam";45;45;45;43;41;41;41;39;44;41;44;42
"Harlingen";34;41;43;45;41;45;45;44;44;39;38;34
"Hattem";5;4;5;4;4;7;6;6;4;4;4;3
"Heemskerk";17;21;25;10;11;11;11;10;10;12;14;14
"Heemstede";13;15;8;8;11;11;12;11;11;15;12;9
"Heerde";24;24;18;19;15;20;20;21;17;21;22;23
"Heerenveen";125;130;152;136;138;143;136;139;141;156;153;154
"Heerlen";72;77;78;77;80;91;94;97;108;103;119;105
"Heeze-Leende";14;12;12;13;13;18;15;14;15;17;18;17
