"Brandstofsoort","Bouwjaar","Perioden","Voertuigen met bromfietskenteken (aantal)","Snorfiets (aantal)","Bromfiets (aantal)","Brommobiel (aantal)","Overige voertuigen met bromfietskenteken (aantal)"
"Totaal","Totaal alle bouwjaren","2023","1.222.944","761.219","436.996","19.548","5.181"
"Totaal","Bouwjaar 2022","2023","66.319","28.666","35.672","1.681","300"
"Totaal","Bouwjaar 2021","2023","75.484","46.326","27.149","1.510","499"
"Totaal","Bouwjaar 2020","2023","84.643","56.829","26.019","1.146","649"
"Totaal","Bouwjaar 2019","2023","60.193","35.439","23.382","1.208","164"
"Totaal","Bouwjaar 2018","2023","54.210","37.494","15.539","1.074","103"
"Totaal","Bouwjaar 2017","2023","75.387","56.032","18.187","1.066","102"
"Totaal","Bouwjaar 2016","2023","57.395","42.030","14.328","930","107"
"Totaal","Bouwjaar 2015","2023","52.614","38.509","13.263","738","104"
"Totaal","Bouwjaar 2014","2023","49.058","36.669","11.588","677","124"
"Totaal","Bouwjaar 2013","2023","44.637","34.223","9.607","717","90"
"Totaal","Bouwjaar 2012","2023","48.471","37.188","10.337","804","142"
"Totaal","Bouwjaar 2011","2023","54.695","41.093","12.629","852","121"
"Totaal","Bouwjaar 2010","2023","57.427","40.897","15.545","834","151"
"Totaal","Bouwjaar 2009","2023","51.811","34.168","16.549","977","117"
"Totaal","Bouwjaar 2008","2023","43.910","27.315","15.634","815","146"
"Totaal","Bouwjaar 2007","2023","30.605","18.607","10.954","911","133"
"Totaal","Bouwjaar 2006","2023","21.325","12.890","7.596","747","92"
"Totaal","Bouwjaren tot en met 2005","2023","294.760","136.844","153.018","2.861","2.037"
"Benzine","Totaal alle bouwjaren","2023","1.073.772","681.249","389.027","0","3.496"
"Benzine","Bouwjaar 2022","2023","32.319","14.392","17.887","0","40"
"Benzine","Bouwjaar 2021","2023","45.262","29.018","16.198","0","46"
"Benzine","Bouwjaar 2020","2023","63.254","44.631","18.594","0","29"
"Benzine","Bouwjaar 2019","2023","45.761","29.130","16.585","0","46"
"Benzine","Bouwjaar 2018","2023","45.928","33.333","12.559","0","36"
"Benzine","Bouwjaar 2017","2023","68.477","50.882","17.516","0","79"
"Benzine","Bouwjaar 2016","2023","52.323","38.079","14.150","0","94"
"Benzine","Bouwjaar 2015","2023","47.856","34.650","13.117","0","89"
"Benzine","Bouwjaar 2014","2023","44.965","33.415","11.450","0","100"
"Benzine","Bouwjaar 2013","2023","42.269","32.706","9.481","0","82"
"Benzine","Bouwjaar 2012","2023","45.446","35.157","10.172","0","117"
"Benzine","Bouwjaar 2011","2023","51.663","39.093","12.467","0","103"
"Benzine","Bouwjaar 2010","2023","54.783","39.223","15.424","0","136"
"Benzine","Bouwjaar 2009","2023","49.665","33.135","16.420","0","110"
"Benzine","Bouwjaar 2008","2023","42.579","26.872","15.563","0","144"
"Benzine","Bouwjaar 2007","2023","29.464","18.429","10.906","0","129"
"Benzine","Bouwjaar 2006","2023","20.489","12.807","7.592","0","90"
"Benzine","Bouwjaren tot en met 2005","2023","291.269","136.297","152.946","0","2.026"
"Diesel","Totaal alle bouwjaren","2023","16.804","33","12","16.756","3"
"Diesel","Bouwjaar 2022","2023","856","0","0","856","0"
"Diesel","Bouwjaar 2021","2023","1.120","0","0","1.120","0"
"Diesel","Bouwjaar 2020","2023","832","0","0","832","0"
"Diesel","Bouwjaar 2019","2023","832","0","0","832","0"
"Diesel","Bouwjaar 2018","2023","751","0","0","751","0"
"Diesel","Bouwjaar 2017","2023","837","1","1","835","0"
"Diesel","Bouwjaar 2016","2023","827","0","0","827","0"
"Diesel","Bouwjaar 2015","2023","666","0","0","666","0"
"Diesel","Bouwjaar 2014","2023","639","0","0","639","0"
"Diesel","Bouwjaar 2013","2023","671","0","0","671","0"
"Diesel","Bouwjaar 2012","2023","767","0","0","767","0"
"Diesel","Bouwjaar 2011","2023","833","0","0","833","0"
"Diesel","Bouwjaar 2010","2023","822","0","0","822","0"
"Diesel","Bouwjaar 2009","2023","974","0","0","974","0"
"Diesel","Bouwjaar 2008","2023","815","0","0","815","0"
"Diesel","Bouwjaar 2007","2023","911","0","0","911","0"
"Diesel","Bouwjaar 2006","2023","748","0","0","747","1"
"Diesel","Bouwjaren tot en met 2005","2023","2.903","32","11","2.858","2"
"Elektriciteit","Totaal alle bouwjaren","2023","132.368","79.937","47.957","2.792","1.682"
"Elektriciteit","Bouwjaar 2022","2023","33.144","14.274","17.785","825","260"
"Elektriciteit","Bouwjaar 2021","2023","29.102","17.308","10.951","390","453"
"Elektriciteit","Bouwjaar 2020","2023","20.557","12.198","7.425","314","620"
"Elektriciteit","Bouwjaar 2019","2023","13.600","6.309","6.797","376","118"
"Elektriciteit","Bouwjaar 2018","2023","7.531","4.161","2.980","323","67"
"Elektriciteit","Bouwjaar 2017","2023","6.073","5.149","670","231","23"
"Elektriciteit","Bouwjaar 2016","2023","4.245","3.951","178","103","13"
"Elektriciteit","Bouwjaar 2015","2023","4.092","3.859","146","72","15"
"Elektriciteit","Bouwjaar 2014","2023","3.454","3.254","138","38","24"
"Elektriciteit","Bouwjaar 2013","2023","1.697","1.517","126","46","8"
"Elektriciteit","Bouwjaar 2012","2023","2.258","2.031","165","37","25"
"Elektriciteit","Bouwjaar 2011","2023","2.199","2.000","162","19","18"
"Elektriciteit","Bouwjaar 2010","2023","1.822","1.674","121","12","15"
"Elektriciteit","Bouwjaar 2009","2023","1.172","1.033","129","3","7"
"Elektriciteit","Bouwjaar 2008","2023","516","443","71","0","2"
"Elektriciteit","Bouwjaar 2007","2023","230","178","48","0","4"
"Elektriciteit","Bouwjaar 2006","2023","88","83","4","0","1"
"Elektriciteit","Bouwjaren tot en met 2005","2023","588","515","61","3","9"
"Bron: CBS."
