RegioS,Perioden,Personenauto_2
5764,2000,526
5766,2000,242
5768,2000,2435
5800,2000,64
5801,2000,3973
5802,2000,2674
5803,2000,2998
5804,2000,497
5807,2000,803
5808,2000,499
5809,2000,817
5811,2000,390
5812,2000,208
5813,2000,968
5814,2000,219
5815,2000,459
5816,2000,115
5846,2000,300
5850,2000,1
5851,2000,977
5853,2000,971
5854,2000,2299
5855,2000,1095
5856,2000,550
5860,2000,3
5861,2000,887
5862,2000,196
5863,2000,518
5864,2000,783
5865,2000,470
5866,2000,516
5871,2000,509
5872,2000,354
5900,2000,101
5902,2000,136
5911,2000,1469
5912,2000,3064
5913,2000,3938
5914,2000,2727
5915,2000,2206
5916,2000,1307
5921,2000,2180
5922,2000,1807
5923,2000,1157
5924,2000,1557
5925,2000,1561
5926,2000,1153
5927,2000,315
5928,2000,780
5930,2000,47
5931,2000,3247
5932,2000,2404
5935,2000,1405
5940,2000,2
5941,2000,2277
5943,2000,489
5944,2000,1093
5950,2000,5
5951,2000,2199
5953,2000,3989
5954,2000,1073
5960,2000,21
5961,2000,4912
5962,2000,828
5963,2000,781
5964,2000,624
5966,2000,891
5970,2000,7
5971,2000,2123
5973,2000,926
5975,2000,2524
5976,2000,442
5977,2000,114
5980,2000,23
5981,2000,3100
5984,2000,451
5985,2000,698
5986,2000,914
5987,2000,370
5988,2000,2328
5990,2000,1
5991,2000,2777
5993,2000,2684
5995,2000,1884
6000,2000,338
6001,2000,2572
6002,2000,2351
6003,2000,1940
6004,2000,3636
6005,2000,1922
6006,2000,4642
6011,2000,610
6012,2000,221
6013,2000,387
6014,2000,922
6015,2000,604
6017,2000,1078
6029,2000,574
6030,2000,11
6031,2000,4019
6034,2000,660
6035,2000,1780
6037,2000,558
6039,2000,2159
6040,2000,212
6041,2000,4546
6042,2000,3550
6043,2000,4157
6044,2000,1058
6045,2000,2407
6049,2000,1938
6050,2000,34
6051,2000,3114
6060,2000,1
6061,2000,1997
6063,2000,1145
6065,2000,1473
6067,2000,1733
6070,2000,7
6071,2000,3530
6074,2000,1661
6075,2000,1879
6077,2000,1521
6080,2000,2
6081,2000,1956
6082,2000,390
6083,2000,316
6085,2000,1662
6086,2000,1496
6088,2000,1806
6089,2000,329
6091,2000,301
6092,2000,123
6093,2000,2724
6095,2000,1222
6096,2000,767
6097,2000,1666
6099,2000,873
6100,2000,25
6101,2000,3957
6102,2000,1957
6104,2000,860
6105,2000,754
6106,2000,1
6107,2000,770
6109,2000,405
6111,2000,266
6112,2000,399
6114,2000,3428
6116,2000,778
6118,2000,1511
6120,2000,19
6121,2000,2388
6122,2000,1010
6123,2000,609
6124,2000,376
6125,2000,851
6127,2000,1167
6129,2000,2744
6130,2000,444
6131,2000,1738
6132,2000,2894
6133,2000,1664
6134,2000,1329
6135,2000,1619
6136,2000,2815
6137,2000,3683
6141,2000,1271
6142,2000,651
6143,2000,573
6151,2000,2288
6153,2000,101
6155,2000,966
6160,2000,264
6161,2000,2145
6162,2000,1498
6163,2000,3441
6164,2000,2360
6165,2000,2115
6166,2000,2468
6167,2000,34
6170,2000,14
6171,2000,5150
6174,2000,353
6176,2000,1699
6180,2000,1
6181,2000,3724
6190,2000,80
6191,2000,6035
6192,2000,14
6200,2000,75
6201,2000,192
6202,2000,37
6211,2000,3020
6212,2000,1948
6213,2000,1817
6214,2000,1455
6215,2000,3128
6216,2000,2525
6217,2000,3095
6218,2000,2695
6219,2000,767
6221,2000,2530
6222,2000,2117
6223,2000,1295
6224,2000,2812
6225,2000,2383
6226,2000,2500
6227,2000,2879
6228,2000,2378
6229,2000,2673
6230,2000,6
6231,2000,3376
6235,2000,1548
6237,2000,183
6240,2000,2
6241,2000,2602
6243,2000,1347
6245,2000,3551
6247,2000,1452
6251,2000,175
6252,2000,64
6255,2000,542
6261,2000,426
6262,2000,467
6265,2000,642
6267,2000,1741
6268,2000,294
6269,2000,1747
6270,2000,3
6271,2000,1646
6273,2000,137
6274,2000,262
6276,2000,73
6277,2000,171
6278,2000,47
6281,2000,886
6285,2000,515
6286,2000,938
6287,2000,841
6289,2000,52
6290,2000,8
6291,2000,3094
6294,2000,702
6295,2000,435
6300,2000,21
6301,2000,4582
6305,2000,756
6307,2000,188
6311,2000,362
6312,2000,79
6320,2000,1
6321,2000,1211
6325,2000,2163
6333,2000,1586
6336,2000,1935
6341,2000,29
6342,2000,57
6343,2000,1645
6350,2000,1
6351,2000,2399
6353,2000,23
6360,2000,28
6361,2000,2941
6363,2000,898
6365,2000,1342
6367,2000,3750
6369,2000,2588
6370,2000,33
6371,2000,2824
6372,2000,4672
6373,2000,4108
6374,2000,5762
6381,2000,2
6391,2000,1
6400,2000,50
6401,2000,151
6411,2000,2712
6412,2000,3520
6413,2000,5181
6414,2000,3510
6415,2000,2652
6416,2000,2305
6417,2000,3067
6418,2000,3965
6419,2000,1991
6421,2000,11
6422,2000,151
6430,2000,22
6431,2000,4556
6432,2000,2009
6433,2000,2275
6436,2000,1185
6438,2000,1825
6439,2000,533
6440,2000,30
6441,2000,3381
6442,2000,1076
6443,2000,1640
6444,2000,3173
6445,2000,1351
6446,2000,1569
6447,2000,815
6450,2000,1
6451,2000,2160
6454,2000,351
6456,2000,453
6460,2000,145
6461,2000,2937
6462,2000,3239
6463,2000,2053
6464,2000,2112
6465,2000,1157
6466,2000,3472
6467,2000,2245
6468,2000,230
6469,2000,269
6470,2000,12
6582,2000,611
6584,2000,1576
6585,2000,1551
6586,2000,188
6587,2000,440
6590,2000,27
6591,2000,3319
6595,2000,1267
6596,2000,1290
7964,2000,131
5766,2001,247
5768,2001,2448
5800,2001,57
5801,2001,4040
5802,2001,2742
5803,2001,3148
5804,2001,520
5807,2001,843
5808,2001,523
5809,2001,850
5811,2001,375
5812,2001,203
5813,2001,972
5814,2001,220
5815,2001,446
5816,2001,132
5817,2001,99
5850,2001,1
5851,2001,992
5853,2001,958
5854,2001,2369
5855,2001,1105
5856,2001,571
5860,2001,2
5861,2001,915
5862,2001,201
5863,2001,536
5864,2001,811
5865,2001,471
5866,2001,518
5871,2001,509
5872,2001,356
5900,2001,95
5902,2001,145
5911,2001,1660
5912,2001,3143
5913,2001,4217
5914,2001,2787
5915,2001,2118
5916,2001,1330
5921,2001,2270
5922,2001,1877
5923,2001,1148
5924,2001,1600
5925,2001,1594
5926,2001,1191
5927,2001,324
5928,2001,790
5930,2001,48
5931,2001,3355
5932,2001,2458
5935,2001,1438
5940,2001,2
5941,2001,2293
5943,2001,478
5944,2001,1086
5950,2001,6
5951,2001,2287
5953,2001,4085
5954,2001,1076
5960,2001,22
5961,2001,4970
5962,2001,826
5963,2001,764
5964,2001,635
5966,2001,895
5970,2001,4
5971,2001,2191
5973,2001,949
5975,2001,2591
5976,2001,463
5977,2001,112
5980,2001,23
5981,2001,3182
5984,2001,462
5985,2001,728
5986,2001,947
5987,2001,388
5988,2001,2406
5990,2001,1
5991,2001,2866
5993,2001,2736
5995,2001,1955
6000,2001,356
6001,2001,2662
6002,2001,2413
6003,2001,2001
6004,2001,3685
6005,2001,1972
6006,2001,4760
6011,2001,623
6012,2001,245
6013,2001,390
6014,2001,923
6015,2001,622
6017,2001,1099
6019,2001,994
6030,2001,7
6031,2001,4064
6034,2001,663
6035,2001,1819
6037,2001,576
6039,2001,2157
6040,2001,207
6041,2001,4615
6042,2001,3632
6043,2001,4285
6044,2001,1060
6045,2001,2467
6049,2001,2088
6050,2001,34
6051,2001,3207
6060,2001,1
6061,2001,2053
6063,2001,1161
6065,2001,1507
6067,2001,1700
6070,2001,8
6071,2001,3578
6074,2001,1674
6075,2001,1938
6077,2001,1589
6080,2001,4
6081,2001,1998
6082,2001,407
6083,2001,340
6085,2001,1695
6086,2001,1533
6088,2001,1826
6089,2001,338
6091,2001,304
6092,2001,127
6093,2001,2763
6095,2001,1248
6096,2001,789
6097,2001,1734
6099,2001,857
6100,2001,24
6101,2001,4084
6102,2001,2009
6104,2001,878
6105,2001,751
6106,2001,1
6107,2001,786
6109,2001,407
6111,2001,277
6112,2001,400
6114,2001,3500
6116,2001,788
6118,2001,1545
6120,2001,15
6121,2001,2464
6122,2001,1018
6123,2001,618
6124,2001,382
6125,2001,875
6127,2001,1181
6129,2001,2794
6130,2001,791
6131,2001,1763
6132,2001,2643
6133,2001,1704
6134,2001,1202
6135,2001,1754
6136,2001,2937
6137,2001,3780
6141,2001,1285
6142,2001,672
6143,2001,580
6151,2001,2371
6153,2001,95
6155,2001,990
6160,2001,244
6161,2001,2074
6162,2001,1521
6163,2001,3464
6164,2001,2374
6165,2001,2096
6166,2001,2518
6167,2001,38
6170,2001,12
6171,2001,5145
6174,2001,352
6176,2001,1738
6180,2001,5
6181,2001,3926
6190,2001,90
6191,2001,6172
6192,2001,35
6200,2001,70
6201,2001,189
6202,2001,32
6211,2001,3014
6212,2001,2021
6213,2001,1816
6214,2001,1457
6215,2001,3330
6216,2001,2574
6217,2001,3137
6218,2001,2706
6219,2001,757
6221,2001,2676
6222,2001,2138
6223,2001,1320
6224,2001,2834
6225,2001,2463
6226,2001,2554
6227,2001,2924
6228,2001,2447
6229,2001,2593
6230,2001,5
6231,2001,3487
6235,2001,1560
6237,2001,180
6241,2001,2666
6243,2001,1342
6245,2001,3585
6247,2001,1480
6251,2001,178
6252,2001,67
6255,2001,563
6261,2001,433
6262,2001,489
6265,2001,640
6267,2001,1764
6268,2001,293
6269,2001,1735
6270,2001,2
6271,2001,1688
6273,2001,124
6274,2001,271
6276,2001,65
6277,2001,181
6278,2001,48
6281,2001,910
6285,2001,520
6286,2001,928
6287,2001,847
6289,2001,51
6290,2001,7
6291,2001,3120
6294,2001,720
6295,2001,433
6300,2001,19
6301,2001,4738
6305,2001,756
6307,2001,191
6311,2001,371
6312,2001,80
6321,2001,1204
6325,2001,2174
6333,2001,1632
6336,2001,2023
6341,2001,31
6342,2001,58
6343,2001,1721
6350,2001,1
6351,2001,2431
6353,2001,24
6360,2001,27
6361,2001,2992
6363,2001,922
6365,2001,1370
6367,2001,3809
6369,2001,2674
6370,2001,32
6371,2001,2872
6372,2001,4735
6373,2001,4134
6374,2001,5916
6381,2001,2
6391,2001,1
6400,2001,20
6401,2001,182
6411,2001,2776
6412,2001,3680
6413,2001,5161
6414,2001,3605
6415,2001,2755
6416,2001,2326
6417,2001,3072
6418,2001,4084
6419,2001,2044
6421,2001,12
6422,2001,145
6430,2001,24
6431,2001,4694
6432,2001,2018
6433,2001,2289
6436,2001,1214
6438,2001,1847
6439,2001,572
6440,2001,27
6441,2001,3415
6442,2001,1156
6443,2001,1671
6444,2001,3196
6445,2001,1355
6446,2001,1630
6447,2001,796
6450,2001,2
6451,2001,2206
6454,2001,362
6456,2001,442
6460,2001,122
6461,2001,3099
6462,2001,3238
6463,2001,2056
6464,2001,2137
6465,2001,1190
6466,2001,3538
6467,2001,2285
6468,2001,236
6469,2001,267
6470,2001,8
6471,2001,2765
6584,2001,1627
6585,2001,1589
6586,2001,190
6587,2001,452
6590,2001,43
6591,2001,3340
6595,2001,1293
6596,2001,1312
6598,2001,1011
7965,2001,48
5766,2002,246
5768,2002,2534
5800,2002,65
5801,2002,4214
5802,2002,2759
5803,2002,3278
5804,2002,537
5807,2002,889
5808,2002,525
5809,2002,878
5811,2002,368
5812,2002,207
5813,2002,983
5814,2002,216
5815,2002,479
5816,2002,122
5817,2002,96
5850,2002,1
5851,2002,1019
5853,2002,990
5854,2002,2406
5855,2002,1130
5856,2002,548
5860,2002,2
5861,2002,915
5862,2002,202
5863,2002,560
5864,2002,844
5865,2002,497
5866,2002,532
5871,2002,518
5872,2002,370
5900,2002,98
5902,2002,137
5911,2002,1524
5912,2002,3299
5913,2002,4229
5914,2002,2863
5915,2002,2166
5916,2002,1351
5921,2002,2276
5922,2002,1853
5923,2002,1217
5924,2002,1592
5925,2002,1643
5926,2002,1201
5927,2002,326
5928,2002,1057
5930,2002,56
5931,2002,3563
5932,2002,2479
5935,2002,1493
5940,2002,2
5941,2002,2332
5943,2002,466
5944,2002,1084
5950,2002,2
5951,2002,2395
5953,2002,4264
5954,2002,1131
5960,2002,21
5961,2002,5033
5962,2002,838
5963,2002,795
5964,2002,632
5966,2002,919
5970,2002,4
5971,2002,2090
5973,2002,961
5975,2002,2647
5976,2002,464
5977,2002,108
5980,2002,23
5981,2002,3233
5984,2002,479
5985,2002,730
5986,2002,985
5987,2002,394
5988,2002,2462
5990,2002,1
5991,2002,2876
5993,2002,2830
5995,2002,1972
6000,2002,128
6001,2002,2641
6002,2002,2618
6003,2002,2071
6004,2002,3716
6005,2002,2009
6006,2002,4768
6011,2002,625
6012,2002,248
6013,2002,416
6014,2002,948
6015,2002,635
6017,2002,1117
6019,2002,1010
6030,2002,6
6031,2002,4131
6034,2002,677
6035,2002,1838
6037,2002,595
6039,2002,2218
6040,2002,220
6041,2002,4628
6042,2002,3633
6043,2002,4345
6044,2002,1123
6045,2002,2438
6049,2002,2198
6050,2002,33
6051,2002,3256
6060,2002,1
6061,2002,2093
6063,2002,1202
6065,2002,1513
6067,2002,1709
6070,2002,8
6071,2002,3649
6074,2002,1679
6075,2002,2010
6077,2002,1601
6080,2002,4
6081,2002,2026
6082,2002,405
6083,2002,352
6085,2002,1710
6086,2002,1568
6088,2002,1868
6089,2002,352
6091,2002,316
6092,2002,132
6093,2002,2796
6095,2002,1259
6096,2002,828
6097,2002,1792
6099,2002,887
6100,2002,21
6101,2002,4133
6102,2002,2038
6104,2002,920
6105,2002,766
6106,2002,1
6107,2002,787
6109,2002,415
6111,2002,273
6112,2002,407
6114,2002,3598
6116,2002,780
6118,2002,1589
6120,2002,19
6121,2002,2597
6122,2002,1068
6123,2002,632
6124,2002,367
6125,2002,893
6127,2002,1196
6129,2002,2854
6130,2002,851
6131,2002,1777
6132,2002,2667
6133,2002,1923
6134,2002,1176
6135,2002,2083
6136,2002,2949
6137,2002,3761
6141,2002,1303
6142,2002,678
6143,2002,574
6151,2002,2374
6153,2002,60
6155,2002,1004
6160,2002,216
6161,2002,2123
6162,2002,1548
6163,2002,3523
6164,2002,2387
6165,2002,2131
6166,2002,2558
6167,2002,42
6170,2002,11
6171,2002,5147
6174,2002,358
6176,2002,1743
6180,2002,3
6181,2002,4027
6190,2002,102
6191,2002,6168
6192,2002,1
6199,2002,113
6200,2002,61
6201,2002,205
6202,2002,47
6211,2002,3037
6212,2002,2018
6213,2002,1835
6214,2002,1484
6215,2002,3523
6216,2002,2597
6217,2002,3148
6218,2002,2752
6219,2002,758
6221,2002,2730
6222,2002,2163
6223,2002,1314
6224,2002,2849
6225,2002,2515
6226,2002,2673
6227,2002,2997
6228,2002,2499
6229,2002,2671
6230,2002,8
6231,2002,3498
6235,2002,1544
6237,2002,192
6241,2002,2726
6243,2002,1374
6245,2002,3643
6247,2002,1494
6251,2002,179
6252,2002,73
6255,2002,557
6261,2002,438
6262,2002,495
6265,2002,639
6267,2002,1774
6268,2002,294
6269,2002,1741
6270,2002,3
6271,2002,1715
6273,2002,120
6274,2002,273
6276,2002,62
6277,2002,182
6278,2002,41
6281,2002,923
6285,2002,528
6286,2002,934
6287,2002,865
6289,2002,47
6290,2002,7
6291,2002,3135
6294,2002,731
6295,2002,437
6300,2002,16
6301,2002,4813
6305,2002,765
6307,2002,195
6311,2002,377
6312,2002,81
6321,2002,1233
6325,2002,2224
6331,2002,1
6333,2002,1669
6336,2002,2038
6341,2002,33
6342,2002,61
6343,2002,1748
6350,2002,1
6351,2002,2476
6353,2002,23
6360,2002,31
6361,2002,3045
6363,2002,916
6365,2002,1378
6367,2002,3959
6369,2002,2632
6370,2002,31
6371,2002,2868
6372,2002,4771
6373,2002,4156
6374,2002,6068
6391,2002,1
6400,2002,15
6401,2002,216
6411,2002,2895
6412,2002,3908
6413,2002,5271
6414,2002,3647
6415,2002,2810
6416,2002,2296
6417,2002,3056
6418,2002,4174
6419,2002,2075
6421,2002,9
6422,2002,149
6430,2002,27
6431,2002,4749
6432,2002,2006
6433,2002,2289
6436,2002,1243
6438,2002,1853
6439,2002,594
6440,2002,20
6441,2002,3367
6442,2002,1178
6443,2002,1628
6444,2002,3254
6445,2002,1384
6446,2002,1876
6447,2002,811
6450,2002,2
6451,2002,2207
6454,2002,373
6456,2002,450
6460,2002,114
6461,2002,3244
6462,2002,3286
6463,2002,2032
6464,2002,2148
6465,2002,1174
6466,2002,3618
6467,2002,2278
6468,2002,223
6469,2002,273
6470,2002,7
6471,2002,2800
6584,2002,1672
6585,2002,1601
6586,2002,203
6587,2002,454
6590,2002,35
6591,2002,3416
6595,2002,1310
6596,2002,1333
6598,2002,1015
7965,2002,56
5766,2003,248
5768,2003,2595
5800,2003,60
5801,2003,4393
5802,2003,2840
5803,2003,3470
5804,2003,609
5807,2003,898
5808,2003,529
5809,2003,912
5811,2003,360
5812,2003,211
5813,2003,977
5814,2003,221
5815,2003,487
5816,2003,117
5817,2003,99
5850,2003,1
5851,2003,1027
5853,2003,1041
5854,2003,2460
5855,2003,1168
5856,2003,565
5860,2003,1
5861,2003,931
5862,2003,194
5863,2003,561
5864,2003,857
5865,2003,498
5866,2003,544
5871,2003,514
5872,2003,372
5900,2003,99
5902,2003,123
5911,2003,1509
5912,2003,3469
5913,2003,4247
5914,2003,2865
5915,2003,2164
5916,2003,1400
5921,2003,2306
5922,2003,1872
5923,2003,1292
5924,2003,1621
5925,2003,1681
5926,2003,1245
5927,2003,330
5928,2003,1181
5930,2003,54
5931,2003,3787
5932,2003,2466
5935,2003,1512
5940,2003,2
5941,2003,2343
5943,2003,480
5944,2003,1070
5950,2003,0
5951,2003,2466
595A  ,2003,1
5953,2003,4417
5954,2003,1153
5960,2003,20
5961,2003,5161
5962,2003,841
5963,2003,799
5964,2003,647
5966,2003,926
5970,2003,2
5971,2003,2146
5973,2003,973
5975,2003,2703
5976,2003,483
5977,2003,102
5980,2003,21
5981,2003,3326
5984,2003,502
5985,2003,727
5986,2003,1000
5987,2003,414
5988,2003,2477
5990,2003,1
5991,2003,2939
5993,2003,2888
5995,2003,2037
6000,2003,100
6001,2003,2708
6002,2003,2849
6003,2003,2144
6004,2003,3701
6005,2003,2025
6006,2003,4843
6011,2003,643
6012,2003,250
6013,2003,426
6014,2003,982
6015,2003,677
6017,2003,1146
6019,2003,1045
6030,2003,7
6031,2003,4174
6034,2003,724
6035,2003,1877
6037,2003,608
6039,2003,2266
6040,2003,205
6041,2003,4725
6042,2003,3680
6043,2003,4362
6044,2003,1107
6045,2003,2482
6049,2003,2263
6050,2003,34
6051,2003,3318
6060,2003,1
6061,2003,2098
6063,2003,1226
6065,2003,1531
6067,2003,1746
6070,2003,6
6071,2003,3807
6074,2003,1699
6075,2003,2044
6077,2003,1623
6080,2003,3
6081,2003,2090
6082,2003,427
6083,2003,349
6085,2003,1738
6086,2003,1542
6088,2003,1883
6089,2003,353
6091,2003,329
6092,2003,135
6093,2003,2860
6095,2003,1296
6096,2003,823
609A  ,2003,1
6097,2003,1829
6099,2003,910
6100,2003,19
6101,2003,4280
6102,2003,2070
6104,2003,921
6105,2003,761
6106,2003,1
6107,2003,809
6109,2003,427
6111,2003,300
6112,2003,429
