Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2016;Limburg (PV);     1.0;     1.2;     5.5;    11.4;     6.6;     1.4;     4.7;     6.5;       .;       .;     0.9;     0.7;     3.0;     0.6;     0.6;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.4;    24.6;     3.4;     5.8;     1.1;     2.3;     5.1;     8.9;     5.2;     7.5;     4.4;     6.5
2017;Limburg (PV);     0.9;     1.2;     5.5;    11.5;       .;     1.4;     4.7;     6.7;       .;       .;     0.9;     0.7;     3.0;     0.6;     0.6;     0.8;     1.9;     0.5;     1.2;     3.5;     1.1;     3.8;     4.6;     5.1;     0.7;     0.9;     4.5;     2.9;     2.5;     3.7;     2.0;     3.4;    24.6;     3.4;     5.4;     1.1;     2.1;     4.8;     8.9;     5.2;     7.5;     4.5;     7.1
2018;Limburg (PV);     1.0;     1.2;     5.3;    11.0;     6.7;     1.4;     4.7;     6.7;       .;       .;     0.9;     0.7;     3.1;     0.6;     0.6;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     3.4;    24.7;     3.5;     5.4;     1.1;     2.1;     4.8;     9.0;     5.2;     7.5;     3.8;     6.9
2019;Limburg (PV);     1.0;     1.2;     5.5;    11.3;     6.6;     1.4;     4.6;     6.7;       .;       .;     0.9;     0.7;     3.0;     0.6;     0.6;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     3.4;    24.6;     3.5;     5.3;     1.1;     2.1;     4.9;     9.0;     5.2;     7.4;     3.8;     6.9
2020;Limburg (PV);     1.0;     1.1;     4.9;    10.0;     6.7;     1.5;     4.6;     6.7;       .;       .;     0.9;     0.7;     2.9;     0.6;     0.6;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     3.4;    24.7;     3.4;     5.3;     1.1;     2.1;     4.8;     9.0;     5.1;     7.2;     3.7;     6.4
2021;Limburg (PV);     1.0;     1.1;     4.8;     9.9;     6.7;     1.5;     4.6;     6.7;       .;       .;     0.9;     0.7;     2.9;     0.7;     0.6;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     3.4;    24.7;     3.5;     5.3;     1.1;     2.2;     5.0;     7.9;     5.2;     8.2;     3.7;     5.2
2016;Noord-Limburg (CR);     1.3;     0.8;     3.0;     6.0;     7.3;     1.9;     4.9;     6.8;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     3.6;    43.5;     3.8;     7.5;     0.7;     1.1;     3.1;    12.9;     5.8;     9.2;     8.6;     6.7
2017;Noord-Limburg (CR);     1.3;     0.8;     3.0;     6.0;       .;     1.9;     4.9;     7.8;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.1;     0.5;     1.7;     4.4;     0.9;     2.4;     3.0;     3.3;     0.9;     1.0;     7.1;     2.6;     3.5;     4.9;     2.2;     3.6;    43.5;     3.8;     6.0;     0.8;     1.3;     3.5;    12.9;     5.8;     9.2;     8.6;     6.7
2018;Noord-Limburg (CR);     1.3;     0.7;     2.6;     5.2;     7.3;     1.9;     4.9;     7.8;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     3.6;    43.5;     3.8;     6.0;     0.8;     1.3;     3.5;    13.3;     5.8;     9.2;     6.2;     6.0
2019;Noord-Limburg (CR);     1.3;     0.7;     2.7;     5.4;     7.2;     2.0;     4.7;     7.5;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     3.6;    43.4;     3.8;     5.9;     0.8;     1.3;     3.5;    13.1;     5.7;     9.1;     6.3;     6.0
2020;Noord-Limburg (CR);     1.3;     0.7;     2.5;     4.9;     7.3;     2.1;     4.7;     7.6;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     3.5;    43.5;     3.6;     5.9;     0.8;     1.3;     3.5;    13.1;     5.4;     8.7;     5.8;     5.9
