"","postal_code","month_year","value_EV","value_CP","monthly_price","value_cars","Total","Supermarket","Convenience.stores","Cafe","Cafeteria","Hotel","Restaurant","Railway.station","Amusement.park","Cinema","Museums","Art.exhibitions","Library","Swimming.pool","General.practioner","Hospital.including.clinic"
"1",5768,2020-02-01,61,1,1.664,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"2",5768,2020-03-01,62,2,1.56651612903226,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"3",5768,2020-04-01,63,2,1.4683,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"4",5768,2020-05-01,63,2,1.48209677419355,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"5",5768,2020-01-01,60,1,1.69712903225806,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"6",5768,2020-06-01,66,2,1.53856666666667,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"7",5768,2020-07-01,64,3,1.56074193548387,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"8",5768,2020-08-01,67,2,1.56425806451613,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"9",5768,2020-09-01,78,2,1.56406666666667,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"10",5768,2020-10-01,78,2,1.55787096774194,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"11",5768,2020-11-01,78,2,1.52456666666667,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"12",5768,2020-12-01,81,2,1.55341935483871,3502,6160,"1","1","1","1","1","1","0","0","0","0","0","1","0","1","0"
"13",5801,2020-06-01,67,13,1.53856666666667,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"14",5801,2020-07-01,69,13,1.56074193548387,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"15",5801,2020-08-01,71,12,1.56425806451613,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"16",5801,2020-09-01,76,12,1.56406666666667,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"17",5801,2020-01-01,62,12,1.69712903225806,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"18",5801,2020-02-01,66,13,1.664,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"19",5801,2020-03-01,66,13,1.56651612903226,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"20",5801,2020-04-01,68,13,1.4683,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"21",5801,2020-05-01,67,13,1.48209677419355,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"22",5801,2020-10-01,81,14,1.55787096774194,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"23",5801,2020-11-01,85,14,1.52456666666667,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"24",5801,2020-12-01,89,21,1.55341935483871,5235,10240,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
"25",5802,2020-09-01,58,2,1.56406666666667,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"26",5802,2020-10-01,59,2,1.55787096774194,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"27",5802,2020-11-01,60,2,1.52456666666667,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"28",5802,2020-12-01,60,3,1.55341935483871,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"29",5802,2020-04-01,50,2,1.4683,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"30",5802,2020-01-01,48,2,1.69712903225806,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"31",5802,2020-02-01,49,2,1.664,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"32",5802,2020-03-01,51,2,1.56651612903226,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"33",5802,2020-08-01,55,2,1.56425806451613,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"34",5802,2020-05-01,54,2,1.48209677419355,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"35",5802,2020-06-01,54,2,1.53856666666667,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"36",5802,2020-07-01,56,2,1.56074193548387,3252,7375,"1","1","1","1","1","1","0","0","1","0","1","0","0","1","0"
"37",5803,2020-03-01,50,18,1.56651612903226,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"38",5803,2020-04-01,50,19,1.4683,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"39",5803,2020-05-01,50,19,1.48209677419355,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"40",5803,2020-02-01,48,18,1.664,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"41",5803,2020-01-01,48,17,1.69712903225806,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"42",5803,2020-06-01,52,19,1.53856666666667,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"43",5803,2020-07-01,51,19,1.56074193548387,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"44",5803,2020-08-01,52,17,1.56425806451613,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"45",5803,2020-09-01,57,17,1.56406666666667,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"46",5803,2020-10-01,58,20,1.55787096774194,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"47",5803,2020-11-01,60,20,1.52456666666667,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"48",5803,2020-12-01,62,31,1.55341935483871,4560,8005,"1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"49",5804,2020-07-01,27,7,1.56074193548387,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"50",5804,2020-08-01,31,7,1.56425806451613,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"51",5804,2020-09-01,31,6,1.56406666666667,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"52",5804,2020-06-01,28,7,1.53856666666667,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"53",5804,2020-01-01,20,7,1.69712903225806,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"54",5804,2020-02-01,21,7,1.664,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"55",5804,2020-03-01,24,7,1.56651612903226,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"56",5804,2020-04-01,26,7,1.4683,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"57",5804,2020-05-01,28,7,1.48209677419355,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"58",5804,2020-10-01,34,8,1.55787096774194,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"59",5804,2020-11-01,34,8,1.52456666666667,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"60",5804,2020-12-01,35,12,1.55341935483871,1614,3040,"1","1","1","1","1","1","0","0","1","1","1","1","1","1","0"
"61",5807,2020-11-01,25,9,1.52456666666667,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
