Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
1011;9705;30;70;7039
1012;8600;20;80;8517
1013;21395;30;70;6436
1014;2175;40;60;2974
1015;14865;30;70;11029
1016;10980;30;70;11371
1017;12730;40;60;9425
1018;21110;30;70;6916
1019;18980;40;60;4310
1021;7040;20;80;2833
1022;3445;40;60;2515
1023;4690;30;70;2571
1024;13190;30;70;2595
1025;15620;30;70;2883
1026;535;80;20;101
1027;535;70;30;172
1028;615;90;10;41
1031;6555;10;90;3142
1032;5915;30;70;2898
1033;12725;20;80;2206
1034;14970;30;70;2513
1035;10735;50;50;1996
1036;2540;70;30;2638
1037;140;-99997;-99997;313
1041;15;-99997;60;99
1042;25;-99997;-99997;122
1043;725;-99997;100;1947
1045;15;-99997;-99997;51
1046;80;-99997;-99997;293
1047;45;-99997;-99997;85
1051;13320;30;70;8916
1052;12305;30;70;11497
1053;16630;30;70;11598
1054;17135;40;60;9855
1055;21180;30;70;6917
1056;20385;30;70;9936
1057;17530;20;80;10690
1058;15955;30;60;8094
1059;6580;40;60;6026
1060;10060;70;30;3142
1061;15885;20;80;5700
1062;13570;10;80;5339
1063;12890;30;70;3824
1064;17120;20;80;3920
1065;12250;20;80;4213
1066;18230;40;60;2901
1067;20200;30;70;2708
1068;16680;30;70;3718
1069;26345;30;70;3977
1071;12620;40;60;7809
1072;13730;20;70;10051
1073;13360;20;80;11185
1074;8355;20;80;10779
1075;10550;30;70;7638
1076;11415;20;80;5096
1077;9785;60;40;5233
1078;14765;30;70;8560
1079;14680;20;80;6042
1081;5320;40;60;2642
1082;12115;30;60;4070
1083;7760;30;70;3156
1086;4255;50;40;1141
1087;19755;50;50;1800
1091;16980;30;70;8713
1092;9025;30;70;8061
1093;10225;30;70;8641
1094;12530;30;70;8206
1095;14605;20;80;4518
1096;5075;10;90;2923
1097;14880;20;80;4690
1098;15790;40;60;4796
1101;120;-99997;-99997;1480
1102;24935;20;80;3351
1103;14275;40;60;3513
1104;15495;30;70;3222
1105;625;0;100;1511
1106;18080;30;70;2418
1107;11635;30;70;2291
1108;3035;40;60;2019
1109;1620;60;40;452
1111;14495;50;50;2449
1112;12690;30;70;3316
1113;3590;40;60;1244
1114;65;-99997;-99997;1359
1115;5050;40;60;2055
1118;55;-99997;-99997;73
1119;25;-99997;-99997;407
1121;10245;60;30;1150
1127;825;80;20;93
1131;8960;70;30;1730
1132;13455;90;10;1487
1135;7240;70;30;1243
1141;9585;70;30;991
1145;330;80;20;148
1151;2770;70;30;293
1153;315;90;10;50
1154;135;90;10;56
1156;1770;70;30;301
1161;7890;70;30;1074
1165;2610;70;30;814
1171;12930;70;30;1688
1175;835;90;10;478
1181;20740;60;40;3257
1182;3885;50;50;1583
1183;13785;40;60;2736
1184;615;70;30;570
1185;11920;40;60;2877
1186;14360;30;70;2492
1187;18550;60;40;1539
1188;7325;50;50;2044
1189;500;50;50;105
1191;8915;70;30;903
1211;9765;40;60;3954
1212;3600;30;70;2084
1213;6975;80;20;2294
1214;7635;50;50;3346
1215;10165;70;30;3024
1216;8915;50;50;1935
1217;7610;70;30;2069
1218;4150;60;40;819
1221;9180;50;50;3919
1222;11060;50;50;2246
1223;11770;50;50;2751
1231;9020;70;30;597
1241;6760;70;30;883
1243;1340;60;40;547
1244;1530;80;20;206
1251;10925;70;30;1095
1252;350;60;30;971
1261;10635;70;30;1066
1262;895;90;10;1246
1271;7875;60;40;1694
1272;6300;80;20;1095
1273;8905;50;50;2375
1274;6555;50;50;2307
1275;2025;50;50;2574
1276;7495;50;50;2419
1277;2115;80;20;1615
1309;40;90;-99997;115
1311;4665;70;30;1742
1312;7015;70;30;1759
1313;4345;70;30;1208
1314;5945;40;60;2008
1315;4145;30;70;2470
1316;4100;90;10;1294
1317;4030;70;30;1025
1318;9840;60;40;1719
1319;7165;80;20;622
1321;9770;70;30;1571
1323;6360;70;30;2320
1324;10510;50;50;2084
1325;10540;60;40;1517
1326;11415;70;30;1869
1328;9960;70;30;1694
1331;190;70;30;81
1332;5;-99997;-99997;234
1333;12545;60;40;1610
1334;2040;20;70;2329
1335;12375;70;30;1872
1336;8655;80;20;1155
1338;9760;70;30;1816
1339;11360;70;30;1891
1341;2145;80;20;248
1343;1245;100;0;179
1349;1585;90;10;97
1351;2030;90;10;1174
1352;1690;80;30;1572
1353;4715;30;70;1598
1354;3000;30;70;2021
1355;3000;50;50;1532
1356;2705;60;40;1079
1357;3500;60;40;1407
1358;580;100;0;129
1359;2135;90;10;671
1361;2055;50;50;861
1363;14700;70;30;1445
1381;4990;50;40;1755
1382;10140;50;50;1957
1383;3570;70;30;1159
1384;1040;100;0;1591
1391;8105;70;30;862
1393;1565;60;40;213
1394;5500;70;30;377
1396;1430;70;30;172
1398;3585;60;40;479
1399;3075;70;30;448
1401;4890;70;30;2718
1402;9630;60;40;3006
1403;9350;50;50;1915
1404;3490;50;50;3094
1405;2940;80;20;2260
1406;3475;70;30;2251
1411;10040;60;40;957
1412;7580;80;20;1678
1421;6070;50;50;1691
1422;13255;60;40;1663
1423;5660;70;30;1187
1424;4490;70;30;541
1426;865;80;20;144
1427;1020;70;30;944
1428;110;100;-99997;123
1431;12625;60;40;1014
1432;9960;70;30;894
1433;9270;70;30;829
1435;4230;60;40;461
1436;500;80;20;677
1437;45;30;70;187
1438;175;90;10;203
1441;14545;60;40;2627
1442;6815;50;50;2626
1443;7460;30;70;2970
1444;6690;60;40;1679
1445;9230;50;50;2315
1446;5060;60;40;1450
1447;12480;70;30;1897
1448;18970;70;30;1932
1451;410;80;20;98
1452;1815;80;20;236
1454;540;80;20;66
1456;1830;80;20;174
1458;180;80;20;14
1461;3630;80;20;1061
1462;5000;70;30;514
1463;620;90;10;39
1464;770;80;10;52
1471;740;80;20;314
1472;715;80;20;65
1473;805;80;20;97
1474;3340;80;20;389
1475;535;80;20;51
1476;115;90;10;20
1477;175;90;10;30
1481;115;80;20;125
1482;150;90;-99997;20
1483;4050;70;30;568
1484;890;80;20;428
1485;90;90;-99997;81
1486;755;90;10;113
1487;150;90;10;102
1488;210;80;20;66
1489;160;100;-99997;31
1501;6505;50;50;3722
1502;8355;40;60;3685
1503;11380;40;60;2616
1504;8615;30;70;2212
1505;6580;40;60;2153
1506;12915;60;40;3021
1507;13240;70;30;1841
1508;4700;50;50;1837
1509;6530;60;40;965
1511;9735;70;30;1066
1521;11305;50;50;1700
1525;590;60;40;351
1531;13055;60;40;1780
1534;495;80;20;241
1536;325;90;10;76
1541;11275;60;40;1988
1544;8645;50;50;1372
1546;710;70;30;146
1551;4865;80;20;335
1561;8115;50;50;2281
1562;9185;60;40;1725
1566;12995;70;30;906
1567;10965;80;20;1649
1601;7435;60;40;1359
1602;11155;60;40;1418
1606;4320;70;30;416
1607;1515;70;30;220
1608;1370;80;20;86
1609;105;90;-99997;25
1611;10210;70;30;1240
1613;9320;70;30;1146
1614;2200;80;20;605
1616;8255;70;30;843
1617;1815;80;20;191
1619;6880;70;30;371
1621;5525;50;50;1998
1622;7640;50;50;1040
1623;2535;60;40;1796
1624;5625;60;40;2255
1625;9640;60;40;1820
1627;15;-99997;-99997;509
1628;20725;60;40;1889
1631;445;90;10;45
1633;3475;80;20;596
1634;440;70;30;86
1636;1260;70;30;173
1641;935;70;30;159
1642;45;90;-99997;140
1643;465;90;10;108
1645;2845;80;20;284
1646;65;80;20;110
1647;2575;80;20;219
1648;3475;80;20;641
1652;535;90;10;49
1654;720;80;20;117
1655;945;80;20;132
1657;2075;70;30;304
1658;170;90;10;32
1661;445;90;10;60
1662;320;70;30;75
1663;110;90;-99997;70
1671;8590;60;40;1003
1674;1955;60;40;270
1676;1105;70;20;109
1678;865;80;10;148
1679;2320;70;30;309
1681;265;90;10;139
1682;210;90;10;68
1683;210;90;10;126
1684;425;80;20;98
1685;470;80;20;498
1686;120;90;10;392
1687;6330;80;20;576
1688;2455;70;30;297
1689;17345;70;30;1293
1691;675;80;20;66
1692;30;80;-99997;23
1693;8175;70;30;593
1695;4200;70;30;1658
1696;1505;80;20;286
1697;835;90;10;141
1701;8895;80;20;1459
1702;8600;60;40;1993
1703;12535;60;40;2176
1704;8680;80;20;918
1705;16845;70;30;1752
1706;2015;80;20;649
1711;1595;80;20;214
1713;5910;80;20;628
1715;4305;80;20;607
1716;2200;70;30;667
1718;3975;80;20;477
1719;480;70;30;51
1721;6135;70;30;830
1722;6085;80;20;1099
1723;5750;70;30;1150
1724;3925;80;20;538
1731;3400;70;30;438
1732;775;80;20;73
1733;3330;70;20;383
1734;400;90;10;47
1735;2165;80;20;233
1736;395;90;10;152
1738;2665;80;20;289
1741;12430;60;40;1589
1742;6530;70;30;984
1744;1875;80;20;127
1746;1640;80;20;300
1747;3775;70;30;406
1749;6100;70;30;515
1751;2080;70;30;176
1752;735;90;10;132
1753;620;70;30;255
1754;835;80;20;58
1755;1655;70;30;244
1756;2425;70;30;275
1757;710;80;20;108
1759;2380;70;30;352
1761;8355;60;40;717
1764;3775;80;20;215
1766;2270;70;30;203
1767;1030;70;30;145
1768;920;80;20;69
1769;190;90;10;35
1771;5930;70;30;592
1773;590;80;20;94
1774;2130;70;30;151
1775;4250;70;30;458
1777;5145;60;40;560
1778;920;80;20;108
1779;2455;70;30;381
1781;9050;50;50;2321
1782;10680;60;40;2414
1783;2630;40;60;1415
1784;9380;40;60;1516
1785;9180;40;60;1392
1786;160;90;10;168
1787;2665;70;30;646
1788;11970;80;20;1383
1789;580;90;10;334
1791;7045;60;40;876
1792;1330;80;20;203
1793;365;80;20;40
1794;1310;80;20;141
1795;1155;80;20;144
1796;1365;60;30;382
1797;1000;60;40;74
1811;5185;40;60;4043
1812;220;80;20;977
