buurtcode2021;buurtnaam2021;GM_2021;GM2021;GM_NAAM;WK_2021;WK2021;WK_NAAM
140000;Binnenstad-Noord;GM0014;14;Groningen;WK001400;1400;Centrum
140001;Binnenstad-Zuid;GM0014;14;Groningen;WK001400;1400;Centrum
140002;Binnenstad-Oost;GM0014;14;Groningen;WK001400;1400;Centrum
140003;Binnenstad-West;GM0014;14;Groningen;WK001400;1400;Centrum
140004;Noorderplantsoen;GM0014;14;Groningen;WK001400;1400;Centrum
140005;Hortusbuurt-Ebbingekwartier;GM0014;14;Groningen;WK001400;1400;Centrum
140007;UMCG;GM0014;14;Groningen;WK001400;1400;Centrum
140008;Stationsgebied;GM0014;14;Groningen;WK001400;1400;Centrum
140100;De Meeuwen;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140101;Oosterpoort;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140102;Herewegbuurt;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140103;Rivierenbuurt;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140104;Grunobuurt;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140105;Badstratenbuurt;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140106;Zeeheldenbuurt;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140107;Laanhuizen;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140108;Stadspark;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140109;Martini Trade Park;GM0014;14;Groningen;WK001401;1401;Oud-Zuid
140200;Oranjebuurt;GM0014;14;Groningen;WK001402;1402;Oud-West
140201;Noorderplantsoenbuurt;GM0014;14;Groningen;WK001402;1402;Oud-West
140202;Schildersbuurt;GM0014;14;Groningen;WK001402;1402;Oud-West
140203;Kostverloren;GM0014;14;Groningen;WK001402;1402;Oud-West
140300;De Hoogte;GM0014;14;Groningen;WK001403;1403;Oud-Noord
140301;Indische buurt;GM0014;14;Groningen;WK001403;1403;Oud-Noord
140302;Professorenbuurt;GM0014;14;Groningen;WK001403;1403;Oud-Noord
140400;Gorechtbuurt;GM0014;14;Groningen;WK001404;1404;Oosterparkwijk
140401;Vogelbuurt;GM0014;14;Groningen;WK001404;1404;Oosterparkwijk
140402;Bloemenbuurt;GM0014;14;Groningen;WK001404;1404;Oosterparkwijk
140403;Florabuurt;GM0014;14;Groningen;WK001404;1404;Oosterparkwijk
140404;Damsterbuurt;GM0014;14;Groningen;WK001404;1404;Oosterparkwijk
140500;De Linie;GM0014;14;Groningen;WK001405;1405;Zuidoost
140501;Europapark;GM0014;14;Groningen;WK001405;1405;Zuidoost
140502;Eemskanaal;GM0014;14;Groningen;WK001405;1405;Zuidoost
140503;Kop van Oost;GM0014;14;Groningen;WK001405;1405;Zuidoost
140504;Woonschepenhaven;GM0014;14;Groningen;WK001405;1405;Zuidoost
140505;Driebond;GM0014;14;Groningen;WK001405;1405;Zuidoost
140506;Eemspoort;GM0014;14;Groningen;WK001405;1405;Zuidoost
140507;Euvelgunne;GM0014;14;Groningen;WK001405;1405;Zuidoost
140508;Winschoterdiep;GM0014;14;Groningen;WK001405;1405;Zuidoost
140509;Stainkoel'n;GM0014;14;Groningen;WK001405;1405;Zuidoost
140510;Roodehaan;GM0014;14;Groningen;WK001405;1405;Zuidoost
140511;Waterhuizen;GM0014;14;Groningen;WK001405;1405;Zuidoost
140600;Sterrebosbuurt;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140601;Coendersborg;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140602;Klein Martijn;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140603;Villabuurt;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140604;Helpman;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140605;De Wijert;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
140606;De Wijert-Zuid;GM0014;14;Groningen;WK001406;1406;Helpman e.o.
