postal_code,month_year,value_EV,value_CP,monthly_price,value_cars
5768,2020-02-01,61,1,1.664,3502
5768,2020-03-01,62,2,1.566516129032258,3502
5768,2020-04-01,63,2,1.4683,3502
5768,2020-05-01,63,2,1.4820967741935485,3502
5768,2020-01-01,60,1,1.6971290322580646,3502
5768,2020-06-01,66,2,1.5385666666666666,3502
5768,2020-07-01,64,3,1.560741935483871,3502
5768,2020-08-01,67,2,1.564258064516129,3502
5768,2020-09-01,78,2,1.5640666666666667,3502
5768,2020-10-01,78,2,1.5578709677419356,3502
5768,2020-11-01,78,2,1.5245666666666666,3502
5768,2020-12-01,81,2,1.5534193548387096,3502
5801,2020-06-01,67,13,1.5385666666666666,5235
5801,2020-07-01,69,13,1.560741935483871,5235
5801,2020-08-01,71,12,1.564258064516129,5235
5801,2020-09-01,76,12,1.5640666666666667,5235
5801,2020-01-01,62,12,1.6971290322580646,5235
5801,2020-02-01,66,13,1.664,5235
5801,2020-03-01,66,13,1.566516129032258,5235
5801,2020-04-01,68,13,1.4683,5235
5801,2020-05-01,67,13,1.4820967741935485,5235
5801,2020-10-01,81,14,1.5578709677419356,5235
5801,2020-11-01,85,14,1.5245666666666666,5235
5801,2020-12-01,89,21,1.5534193548387096,5235
5802,2020-09-01,58,2,1.5640666666666667,3252
5802,2020-10-01,59,2,1.5578709677419356,3252
5802,2020-11-01,60,2,1.5245666666666666,3252
5802,2020-12-01,60,3,1.5534193548387096,3252
5802,2020-04-01,50,2,1.4683,3252
5802,2020-01-01,48,2,1.6971290322580646,3252
5802,2020-02-01,49,2,1.664,3252
5802,2020-03-01,51,2,1.566516129032258,3252
5802,2020-08-01,55,2,1.564258064516129,3252
5802,2020-05-01,54,2,1.4820967741935485,3252
5802,2020-06-01,54,2,1.5385666666666666,3252
5802,2020-07-01,56,2,1.560741935483871,3252
5803,2020-03-01,50,18,1.566516129032258,4560
5803,2020-04-01,50,19,1.4683,4560
5803,2020-05-01,50,19,1.4820967741935485,4560
5803,2020-02-01,48,18,1.664,4560
5803,2020-01-01,48,17,1.6971290322580646,4560
5803,2020-06-01,52,19,1.5385666666666666,4560
5803,2020-07-01,51,19,1.560741935483871,4560
5803,2020-08-01,52,17,1.564258064516129,4560
5803,2020-09-01,57,17,1.5640666666666667,4560
5803,2020-10-01,58,20,1.5578709677419356,4560
5803,2020-11-01,60,20,1.5245666666666666,4560
