Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
1011;9630;30;70;7048
1012;8545;20;80;8528
1013;21255;30;70;6468
1014;2870;40;60;3072
1015;14850;30;70;11037
1016;10920;30;70;11395
1017;12710;40;60;9459
1018;21195;30;70;6933
1019;18820;40;60;4351
1021;6895;20;80;2836
1022;3800;30;70;2648
1023;4650;30;70;2597
1024;13560;30;70;2626
1025;15685;30;70;2958
1026;545;80;20;108
1027;545;70;30;180
1028;625;90;10;41
1031;6970;10;90;3142
1032;6080;30;70;2957
1033;13075;20;80;2152
1034;15000;30;70;2599
1035;10720;50;50;1997
1036;2615;60;40;2618
1037;135;-99997;-99997;314
1041;10;-99997;60;102
1042;25;-99997;-99997;124
1043;715;-99997;100;1981
1046;100;-99997;-99997;296
1047;55;-99997;-99997;87
1051;13105;30;70;8935
1052;12330;30;70;11525
1053;16505;30;70;11645
1054;17150;30;70;9913
1055;21115;30;70;6905
1056;20750;30;70;9941
1057;17420;20;80;10715
1058;15760;30;70;8159
1059;6505;30;70;6065
1060;9955;70;30;3167
1061;16335;20;80;5709
1062;13715;10;90;5466
1063;12470;30;70;3825
1064;17005;20;80;3932
1065;12170;20;80;4307
1066;18330;40;60;2917
1067;19975;30;70;2714
1068;17150;30;70;3877
1069;25890;30;70;4036
1071;12530;40;60;7859
1072;13665;20;80;10098
1073;13125;20;80;11235
1074;8295;20;80;10821
1075;10665;30;70;7679
1076;11335;20;80;5117
1077;9735;60;40;5247
1078;14555;30;70;8597
1079;14590;20;80;6038
1081;5270;40;60;2644
1082;12145;30;70;4099
1083;7605;30;70;3190
1086;4275;50;50;1148
1087;19670;50;50;1801
1091;16765;30;70;8738
1092;8880;30;70;8076
1093;10045;30;70;8652
1094;12520;30;70;8232
1095;14725;20;80;4464
1096;5245;20;80;2935
1097;15035;20;80;4704
1098;15535;40;60;4804
1101;100;-99997;-99997;1481
1102;24560;20;80;3380
1103;14180;40;60;3585
1104;15665;30;70;3252
1105;1525;0;100;1511
1106;17810;30;70;2419
1107;11545;30;70;2290
1108;3060;40;60;2051
1109;1625;60;40;450
1111;14620;50;50;2468
1112;13170;30;70;3446
1113;3545;40;60;1243
1114;60;-99997;-99997;1376
1115;5220;40;60;2071
1118;45;-99997;-99997;74
1119;20;-99997;-99997;431
1121;10320;60;30;1151
1127;835;80;20;94
1131;8885;70;30;1755
1132;13575;90;10;1492
1135;7170;70;30;1256
1141;9445;70;30;991
1145;335;80;20;151
1151;2750;70;30;299
1153;320;90;10;50
1154;135;80;10;58
1156;1745;70;30;305
1161;7935;70;30;1089
1165;2620;70;30;847
1171;13290;70;30;1710
1175;870;90;10;509
1181;20665;60;40;3244
1182;3805;50;50;1568
1183;13730;40;60;2716
1184;605;80;20;570
1185;11720;40;60;2874
1186;14095;30;70;2492
1187;18405;60;40;1537
1188;7315;50;50;2049
1189;485;60;40;106
1191;8845;60;40;903
1211;9680;40;60;3968
1212;3620;30;70;2130
1213;7105;80;20;2302
1214;7575;50;50;3360
1215;10160;70;30;3030
1216;8900;50;50;1938
1217;7695;70;30;2072
1218;4125;60;40;818
1221;9340;50;50;3955
1222;11190;50;50;2254
1223;11845;50;50;2770
1231;9155;70;30;602
1241;6710;70;30;884
1243;1325;60;40;549
1244;1520;80;20;207
1251;11055;70;30;1106
1252;340;60;30;982
1261;10720;70;30;1072
1262;1235;90;10;1179
1271;7990;60;40;1715
1272;6280;80;20;1107
1273;8790;50;50;2378
1274;6450;50;50;2316
1275;2025;50;50;2580
1276;7470;50;50;2427
1277;2085;80;20;1647
1309;40;90;-99997;126
1311;4655;70;30;1757
1312;7000;70;30;1767
1313;4320;70;30;1209
1314;5970;40;60;2008
1315;4155;30;70;2470
1316;4065;90;10;1293
1317;4045;70;30;1024
1318;9815;60;40;1719
1319;7250;80;20;623
1321;9770;70;30;1598
1323;6280;70;30;2334
1324;10410;50;50;2085
1325;10430;60;40;1517
1326;11310;70;30;1869
1328;9935;70;30;1694
1331;205;70;30;82
1332;10;-99997;-99997;249
1333;12520;60;40;1628
1334;2125;20;80;2352
1335;12300;70;30;1883
1336;8890;80;20;1199
1338;9655;70;30;1827
1339;11250;70;30;1903
1341;2695;80;20;289
1343;1350;100;0;200
1349;2540;90;10;110
1351;1985;90;10;1175
1352;1715;80;20;1577
1353;4775;30;70;1611
1354;2995;30;70;2033
1355;3040;50;50;1532
1356;2680;60;40;1079
1357;3510;60;40;1409
1358;580;100;0;133
1359;2320;80;20;680
1361;3060;60;40;962
1363;15030;60;40;1505
1381;4985;60;40;1762
1382;10195;50;50;1995
1383;3560;70;30;1159
